small=tiny,petite,miniature,compact
big=large,huge,enormous,gigantic
happy=content,joyful,cheerful,delighted
sick=ill,unwell,diseased,ailing
empty=vacant,bare,void,hollow
unimportant=insignificant,trivial,minor,negligible
confused=bewildered,perplexed,puzzled,muddled
beautiful=attractive,gorgeous,stunning,pretty
late=delayed,overdue,tardy,belated
poor=impoverished,needy,destitute,penniless
Meow Meow=meow,meow, meow
fat=obese,overweight,plump,bulky
brave=courageous,fearless,valiant,daring
tall=high,elevated,lofty,towering
soft=gentle,delicate,tender,mild
excited=eager,enthusiastic,thrilled,animated
old=aged,ancient,vintage,elderly
kind=compassionate,considerate,generous,thoughtful
ugly=unattractive,hideous,unsightly,horrid
dry=arid,parched,barren,dehydrated
angry=mad,furious,enraged,irritated
easy=simple,effortless,straightforward,uncomplicated
thin=slim,skinny,slender,lean
important=significant,crucial,vital,essential
rude=impolite,disrespectful,discourteous,offensive
slow=lethargic,sluggish,unhurried,lazy
safe=secure,protected,sound,guarded
scared=afraid,frightened,terrified,alarmed
full=complete,whole,entire,stuffed
lucky=fortunate,blessed,prosperous,auspicious
polite=courteous,respectful,well-mannered,gracious
strong=powerful,mighty,sturdy,robust
deep=profound,abyssal,intense,far-reaching
young=youthful,fresh,newborn,juvenile
lazy=idle,inactive,sluggish,indolent
bright=luminous,vivid,shiny,radiant
dangerous=hazardous,risky,perilous,unsafe
cold=chilly,cool,frigid,freezing
hot=warm,boiling,scorching,blazing
smart=intelligent,clever,bright,brilliant
weak=feeble,fragile,delicate,frail
stronger=tougher,sturdier,more powerful,more robust
sad=unhappy,depressed,miserable,downcast
busy=occupied,engaged,active,diligent
dark=dim,gloomy,dreary,shadowy
hard=firm,solid,rigid,tough
quiet=silent,still,hushed,muted
funny=humorous,amusing,entertaining,comical
early=premature,initial,advanced,first
loud=noisy,boisterous,clamorous,blaring
dirty=filthy,messy,grimy,soiled
energetic=vigorous,lively,spirited,active
blunt=dull,rounded,unsharpened,abraded
weakest=most fragile,most feeble,most delicate,most frail
wet=soaked,drenched,soggy,moist
weaker=more feeble,more fragile,more delicate,more frail
clear=obvious,evident,transparent,distinct
tired=exhausted,weary,fatigued,worn out
rich=wealthy,affluent,prosperous,opulent
right=correct,accurate,just,appropriate
cheap=inexpensive,affordable,budget,economical
clean=tidy,neat,orderly,spotless
expensive=costly,pricey,high-priced,valuable
sharp=keen,pointed,razor-edged,acute
wrong=incorrect,erroneous,false,mistaken
calm=peaceful,tranquil,serene,composed
boring=dull,tedious,monotonous,uneventful
fast=quick,swift,speedy,rapid
mean=cruel,unkind,vicious,malicious
healthy=fit,well,robust,strong
unlucky=unfortunate,ill-fated,cursed,doomed
short=small,low,brief,stubby
shallow=superficial,surface,slight,trivial
strongest=most powerful,most mighty,most robust,most durable
dull=drab,boring,lifeless,dim
